,datetime,shape,duration (seconds),comments,latitude,longitude ,date,time
14702,1/15/1995 04:30,triangle,900,Triangle UFO with erratic movement early&#44 slow approach&#44 multi-colored lights to constant white lights.,42.0950000,-89.9780556,1995,04:30
14707,1/15/1995 22:00,triangle,180,Two friends and I saw a triangular-shaped hovering aircraft which quickly sped away when we stopped to look at it.,32.3475000,-97.3863889,1995,22:00
56809,7/15/1995 19:00,disk,1800,Driving on interstate 90 going east towards Post Falls&#44 Idaho a huge disc shaped object of many changing colors seen over Stateline&#44  I,47.6588889,-117.425,1995,19:00
58242,7/20/1995 12:30,circle,4,Object descends then ascends at breakneck speed&#44 recorded from an aircraft.,33.7488889,-84.3880556,1995,12:30
30817,3/12/1995 22:00,triangle,900,Gigantic Triangle directly overhead&#44 moving silently...,33.2558333,-116.3741667,1995,22:00
56804,7/15/1995 05:30,circle,30,Circular object &#44 crimson in color&#44 maybe 10-20 ft. in dia.&#44 hovering maybe 20&#39 above ground&#44 appeared to be non-solid/holgram,34.0658333,-84.6769444,1995,05:30
63390,7/7/1995 01:30,triangle,900,Triangular shaped UFO on Clinton Rd. NJ,40.5686111,-75.095,1995,01:30
52903,6/30/1995 15:00,disk,4,A metallic disc  with a brilliant amber colored light passed directly overhead at incredible speed at low altitude.,42.3266667,-122.8744444,1995,15:00
49036,6/15/1995 00:00,disk,15,Two red softly glowing round objects as your guest described on coast to coast 15 sec apart in 1995,33.8536111,-118.1330556,1995,00:00
49037,6/15/1995 02:00,circle,1800,How could noone else have saw this.  It was bigger than the moon.   It was Orangey yellow.  Maybee cause it was 2am.,41.1669444,-73.2052778,1995,02:00
47605,6/1/1995 21:00,triangle,600,triangle lights with a flash slow moving no sound,25.4683333,-80.4777778,1995,21:00
47603,6/1/1995 20:00,triangle,8,I was lying on my back on a trampoline star gazing at my brother in laws something ive done for 25 yrs.clear blue sky visability was 20,41.2375000,-80.8186111,1995,20:00
47596,6/1/1995 15:00,circle,10,A strange object moving at warp speed in the day,35.9938889,-78.8988889,1995,15:00
47593,6/1/1995 12:00,triangle,300,i work up bout 12 am and something told me to look out the window i did across there a house that sit beside a line of pine trees that,41.1575000,-81.2422222,1995,12:00
20156,12/24/1995 17:30,triangle,1800,Star like light followed our car&#44 changed to a triangle shape&#44 changed back&#44 followed airplane.,34.7950000,-90.9911111,1995,17:30
44551,5/27/1995 17:30,circle,20,It traveled so quickly...like turning a light switch on to off.,33.9244444,-86.0225,1995,17:30
43118,5/19/1995 22:00,triangle,90,Girlfriend and I saw three red lights forming a triangle shape moving north. My first thought&#44 Helicopter&#44 but no sound was heard&#44 from,34.1425000,-118.2541667,1995,22:00
49046,6/15/1995 19:00,circle,1200,orange glowing orb-like lights seen by myself and other prisoners at Calipatria State Prison.,33.1255556,-115.5133333,1995,19:00
49047,6/15/1995 19:30,disk,30,Three disk shaped objects appeared to the north. Objects were blue in color&#44 nearly the color of the background sky. They were about ha,35.0844444,-106.6505556,1995,19:30
67941,8/20/1995 04:00,triangle,300.0,At approximately 4 a.m. I wass sitting at at truck stop off Interstate 26 near Bowman South Carolina doing some paper work.  I noticed,33.3486111,-80.6830556,1995,04:00
67940,8/20/1995 02:00,disk,1800.0,large disk shaped object with light beams eminating from it,41.2380556,-81.8419444,1995,02:00
49043,6/15/1995 15:00,disk,45,I saw bright  object that  huvered and then flew off with very high speed&#33,42.9633333,-85.6680556,1995,15:00
49055,6/15/1995 22:00,triangle,60,Hi. Top of the day too you. I have been keeping these stories to myself for a long time.I think the time is right to tell someone.,38.6272222,-90.1977778,1995,22:00
8161,11/1/1995 22:30,triangle,30,Triangular shaped object with 3 lights&#44 passes over house at low altitude and made no sound.,30.6033333,-87.9036111,1995,22:30
49053,6/15/1995 21:00,triangle,1200,Triangular shaped with &quot;mother of pearl&quot; swirling light...six green square lights all on bottom,40.0361111,-75.5141667,1995,21:00
48197,6/13/1995 18:00,disk,600,There was not a sound when i was looking at the object or when it left the area as it dissapered,41.2586111,-95.9375,1995,18:00
78594,9/30/1995 19:00,triangle,120.0,UFO in Monroeville Indiana,40.9747222,-84.8683333,1995,19:00
69458,8/25/1995 09:15,triangle,300.0,low&#44 slow moving Triangular shaped craft with lights on pionts of triangle and one in center on bottom sighted,42.0775,-78.43,1995,09:15
7647,11/10/1995 23:45,circle,600,A late night experience of a rotating ball with changing colors&#44 and a aura,25.9013889,-97.4972222,1995,23:45
10596,11/19/1995 23:06,circle,30,A circular object with lights on the bottom&#44 flying very low to the house&#44 possibly about six stories high&#44 there was a humming noise.,36.8527778,-75.9783333,1995,23:06
73420,9/1/1995 02:00,triangle,300.0,Black triangular craft vibrates me out of sleep&#44 blocks out sky. Verified next day by independant witness.,46.9738889,-124.155,1995,02:00
40632,4/7/1995 17:00,triangle,600,Triangle shape seen in Hendersonville in 95,36.3047222,-86.62,1995,17:00
69453,8/25/1995 00:42,disk,15.0,I had just gone to bed when I noticed bright lights coming towards my home. I immediately got up and went towards the window and saw t,41.1827778,-80.7655556,1995,00:42
65892,8/14/1995 20:30,triangle,300.0,Triangular_Precision_manuevering_1995,45.0052778,-122.7819444,1995,20:30
1488,10/14/1995 20:05,triangle,1800,One large triangle craft&#44 20 small red&#44 clear&#44 and green lighted craft,43.0755556,-85.6091667,1995,20:05
24284,1/3/1995 18:00,triangle,120,Young man sees large triangular ship w/ blue &amp; white lights moving slowly in night sky. Streaks off to north.,48.0519444,-122.1758333,1995,18:00
8154,11/1/1995 02:00,circle,30,while working the late shift at agas station on rte 28 in Randolph I saw alarge white light in the sky to the east.  It started up high,42.1625000,-71.0416667,1995,02:00
78595,9/30/1995 20:00,disk,300.0,U.F.O SEEN IN HAMPDEN IN THE FALL OF1995,39.2902778,-76.6125,1995,20:00
67373,8/18/1995 22:45,triangle,60.0,fire like triangular object  with sapphire blue cloud that pulsated  500 Lights On Object0: Yes,42.3222222,-83.1763889,1995,22:45
40286,4/5/1995 12:01,disk,300,They&#39re here whether you like it or not.,33.4222222,-111.8219444,1995,12:01
46500,6/10/1995 23:00,triangle,10,Boomerang or Triangular 5 Blueish White Lights.,40.7141667,-74.0063889,1995,23:00
